,Preço,Marca,Modelo,GPU,Unidades de Processamento,Tamanho da Memória (GB),Velocidade da Memória (Gbps),Tipo da Memória,Interface da Memória (Bits),Fonte Recomendada (W),Garantia (Meses),Peso
0,2299.99,ASUS,Dual RTX 3060 O12G V2,NVIDIA,3584,12,15,GDDR6,192,650,12,880
1,1549.99,ASRock,AMD Radeon RX 6600 CLD 8G,AMD,1792,8,14,GDDR6,128,500,12,627
2,2699.99,MSI,Radeon RX 6750 XT MECH 2X 12G OC,AMD,2560,12,18,GDDR6,192,650,36,1474
3,1899.99,PNY,VCG30508DFMPB,NVIDIA,2560,8,,GDDR6,128,,36,1052
4,2799.99,PNY,VCG3060T8LDFBPB1,NVIDIA,4864,8,14,GDDR6,256,,36,990
5,2359.99,PNY,VCG306012DFBPB1,NVIDIA,3584,12,15,GDDR6,192,,36,990
6,1599.99,MSI,1660 Super GAMING X,NVIDIA,1408,6,14,GDDR6,192,125,12,1576
7,1029.99,PNY,VCG16504D6SFMPB,NVIDIA,896,4,8,GDDR5,128,300,36,989
8,1679.99,ASUS,TUF Gaming NVIDIA Geforce GTX 1660 TI O6G EVO OC,NVIDIA,1536,6,12,GDDR6,192,450,12,1070
9,2234.99,MSI,RTX 3060 Ventus,NVIDIA,3584,12,15,GDDR6,192,550,12,1030
10,2656.99,Galax,36ISL6MD1VQW,NVIDIA,4864,8,14,GDDR6 ,256,550,12,1441
11,429.99,Duex,DXGTX750TI2GD5,NVIDIA,640,,,GDDR5,128,,12,480
12,2199.99,Zotac,ZT-A30600H-10M,NVIDIA,3584,12,15,GDDR6,192,600,12,1040
13,2793.99,Gigabyte,GV-N3060GAMING OC-12GD,NVIDIA,3584,12,,GDDR6 ,192,550,12,1110
14,1979.99,Galax,36NSL8MD6OCC,,3584,8,15,GDDR6,128,550,12,4893
15,878.99,Galax,63NQL4HP66EX,NVIDIA,512,4,12,GDDR6 ,64,300,24,961
16,2199.99,MSI,GeForce RTX 2060 VENTUS 12G OC,NVIDIA,2176,12,14,GDDR6,192,500,36,1474
17,2561.99,MSI,RTX 3050 Gaming X 8G,NVIDIA,2560,8,14,GDDR6,128,550,12,1691
18,2739.99,Asus,DUAL-RTX3060TI-O8GD6X,NVIDIA,4864,8,19,GDDR6X,256,750,12,
19,2378.99,GALAX,36NOL7MD1VOC,NVIDIA,3584,12,15,GDDR6,192,550,12,1419
